City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
493,Nuevitas,CU,85.44,scattered clouds,21.5453,-77.2644,Hotel Caonaba
494,Vao,NC,78.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
495,Catuday,PH,77.5,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
497,Veraval,IN,75.29,clear sky,20.9,70.3667,Lords Inn Somnath
500,Abaete,BR,85.28,broken clouds,-19.16,-45.4458,Hotel Millenium
504,Tual,ID,82.85,light rain,-5.6667,132.75,Grand Vilia Hotel
505,Bang Saphan,TH,77.18,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
507,Terre-De-Bas,GP,83.71,clear sky,15.8501,-61.6442,Hôtel Bois Joli
509,Aguas Formosas,BR,83.86,overcast clouds,-17.0822,-40.9358,HOTEL HAVAY PALACE
513,Digri,PK,75.76,overcast clouds,25.1558,69.1113,Sindh Green Hotel
514,Matara,LK,78.4,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
515,Santa Ines,BR,77.99,overcast clouds,-3.6667,-45.38,Palace hotel
527,Soure,BR,79.77,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
528,Roseau,DM,78.93,clear sky,15.3017,-61.3881,Fort Young Hotel
531,Dulce Nombre De Culmi,HN,82.83,overcast clouds,15.1,-85.5333,Hotel Zuniama
533,Adre,TD,84.47,broken clouds,13.4667,22.2,
535,Kieta,PG,78.87,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
536,Cabo Rojo,PR,84.63,light rain,18.0866,-67.1457,Hotel Perichi's
538,Koumac,NC,77.41,few clouds,-20.5667,164.2833,Le Monitel
539,Tomatlan,MX,89.26,clear sky,19.9333,-105.25,El Salvial
543,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
549,Basco,PH,75.09,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
554,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
555,Paita,PE,84.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
564,Pizarro,CO,78.69,light rain,4.9533,-77.366,Hotel Limonar
566,Boyolangu,ID,75.7,light rain,-8.1181,111.8935,Yos ega cv
568,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
578,Srandakan,ID,75.47,overcast clouds,-7.9386,110.2506,Puri Brata
