City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
173,Rocky Mountain House,CA,2022-03-05 18:58:39,52.3668,-114.9188,22.84,79,99,4.61,overcast clouds
174,Mokhsogollokh,RU,2022-03-05 18:58:40,61.4681,128.9203,-19.62,100,94,0.98,overcast clouds
175,Nongan,CN,2022-03-05 18:58:40,44.382,125.1685,19.81,64,54,10.89,broken clouds
176,East London,ZA,2022-03-05 18:58:41,-33.0153,27.9116,72.61,79,41,12.93,scattered clouds
177,Moron,AR,2022-03-05 18:58:41,-34.6534,-58.6198,78.98,80,100,5.95,overcast clouds
178,Saldanha,ZA,2022-03-05 18:58:41,-33.0117,17.9442,77.05,92,0,10.67,clear sky
179,General Roca,AR,2022-03-05 18:52:42,-39.0333,-67.5833,79.63,15,0,19.35,clear sky
180,Bandarbeyla,SO,2022-03-05 18:58:42,9.4942,50.8122,77.61,72,7,13.38,clear sky
181,Borogontsy,RU,2022-03-05 18:58:42,62.6683,131.1683,-21.95,100,100,3.8,overcast clouds
182,Ayan,RU,2022-03-05 18:58:43,56.45,138.1667,2.89,84,11,7.05,few clouds
183,Fortuna,US,2022-03-05 18:59:43,40.5982,-124.1573,52.32,75,20,14.97,few clouds
184,Kattivakkam,IN,2022-03-05 18:59:43,13.2167,80.3167,82.08,68,98,15.61,overcast clouds
185,Vitim,RU,2022-03-05 18:59:44,59.4511,112.5578,16.07,93,100,10.09,light snow
186,Baoshan,CN,2022-03-05 18:59:44,46.5586,131.4244,19.72,94,100,16.91,light snow
187,Isangel,VU,2022-03-05 18:59:45,-19.55,169.2667,75.31,94,20,2.3,few clouds
188,Maraa,BR,2022-03-05 18:59:45,-1.8333,-65.3667,76.32,87,100,1.97,overcast clouds
189,Dingle,PH,2022-03-05 18:59:45,10.9995,122.6711,75.11,89,51,6.78,broken clouds
190,Waitati,NZ,2022-03-05 18:59:46,-45.75,170.5667,58.06,62,100,3.98,overcast clouds
191,Raga,SS,2022-03-05 18:59:46,8.4596,25.678,85.62,15,4,3.78,clear sky
192,Victoria,HK,2022-03-05 18:57:15,22.2855,114.1577,69.1,83,87,15.99,overcast clouds
193,Festus,US,2022-03-05 18:59:47,38.2206,-90.396,77.32,54,97,17.54,overcast clouds
194,Yinchuan,CN,2022-03-05 18:59:47,38.4681,106.2731,41.52,32,100,3.8,overcast clouds
195,Paamiut,GL,2022-03-05 18:59:47,61.994,-49.6678,20.25,94,100,16.82,snow
196,Kesova Gora,RU,2022-03-05 18:59:48,57.5836,37.2922,25.25,93,100,5.55,overcast clouds
197,Felanitx,ES,2022-03-05 18:59:48,39.4696,3.1483,53.96,73,100,4.7,overcast clouds
198,Khanapur,IN,2022-03-05 18:59:48,15.6333,74.5167,72.01,39,1,0.96,clear sky
199,Sobolevo,RU,2022-03-05 18:57:34,54.4299,31.8996,14.04,94,46,3.94,scattered clouds
